model_name,mode,camera,fusion_method,threshold_percentile,input_dim,train_count,test_count,test_correct_count,test_anomaly_count,threshold,dropout,weight_decay,best_epoch,best_val_loss,accuracy,precision,recall,f1,auc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,flagged_as_anomaly,total_test
baseline_small_dropout02,fusion,ALL,top2_mean,75,,,839,626,213,1.0,0.2,0.0001,,,0.8939213349225268,0.7440944881889764,0.8873239436619719,0.8094218415417559,0.9487167949121781,561,65,24,189,0.10383386581469649,0.11267605633802817,254,839
baseline_small_dropout02,fusion,ALL,mean,80,,,839,626,213,1.0,0.2,0.0001,,,0.8760429082240763,0.8187134502923976,0.6572769953051644,0.7291666666666666,0.9485817996370127,595,31,73,140,0.04952076677316294,0.3427230046948357,171,839
baseline_small_dropout02,fusion,ALL,max,80,,,839,626,213,1.0,0.2,0.0001,,,0.8974970202622169,0.7529880478087649,0.8873239436619719,0.8146551724137931,0.9470893518726845,564,62,24,189,0.09904153354632587,0.11267605633802817,251,839
baseline_small_dropout02,fusion,ALL,top2_mean,80,,,839,626,213,1.0,0.2,0.0001,,,0.8963051251489869,0.7763157894736842,0.8309859154929577,0.8027210884353742,0.9487617933372332,575,51,36,177,0.08146964856230032,0.16901408450704225,228,839
baseline_small_dropout02,fusion,ALL,mean,85,,,839,626,213,1.0,0.2,0.0001,,,0.8533969010727056,0.8169014084507042,0.5446009389671361,0.6535211267605634,0.9483493077742279,600,26,97,116,0.04153354632587859,0.45539906103286387,142,839
baseline_small_dropout02,fusion,ALL,max,85,,,839,626,213,1.0,0.2,0.0001,,,0.8879618593563766,0.771689497716895,0.7934272300469484,0.7824074074074074,0.946189383371582,576,50,44,169,0.07987220447284345,0.20657276995305165,219,839
baseline_small_dropout02,fusion,ALL,top2_mean,85,,,839,626,213,1.0,0.2,0.0001,,,0.8939213349225268,0.803921568627451,0.7699530516431925,0.7865707434052758,0.948394306199283,586,40,49,164,0.06389776357827476,0.2300469483568075,204,839
baseline_small_dropout02,fusion,ALL,mean,90,,,839,626,213,1.0,0.2,0.0001,,,0.8212157330154947,0.8461538461538461,0.3615023474178404,0.506578947368421,0.9486267980620678,612,14,136,77,0.022364217252396165,0.6384976525821596,91,839
baseline_small_dropout02,fusion,ALL,max,90,,,839,626,213,1.0,0.2,0.0001,,,0.8867699642431466,0.8138297872340425,0.7183098591549296,0.7630922693266833,0.9474568390106346,591,35,60,153,0.05591054313099041,0.28169014084507044,188,839
baseline_small_dropout02,fusion,ALL,top2_mean,90,,,839,626,213,1.0,0.2,0.0001,,,0.8736591179976162,0.8203592814371258,0.6431924882629108,0.7210526315789474,0.9485068022619209,596,30,76,137,0.04792332268370607,0.3568075117370892,167,839
